ID,age,age bucket,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,response
77,55,38 to 58,technician,married,university.degree,no,no,no,telephone,may,mon,349,0
78,33,17 to 37,services,married,high.school,unknown,yes,no,telephone,may,mon,337,0
79,55,38 to 58,management,married,unknown,unknown,yes,no,telephone,may,mon,272,0
80,42,38 to 58,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,208,0
81,50,38 to 58,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,193,0
82,51,38 to 58,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,may,mon,212,0
83,38,38 to 58,admin.,married,high.school,unknown,no,no,telephone,may,mon,165,0
84,49,38 to 58,entrepreneur,married,university.degree,unknown,yes,no,telephone,may,mon,1042,1
85,38,38 to 58,technician,single,university.degree,no,no,yes,telephone,may,mon,20,0
86,31,17 to 37,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,0
87,41,38 to 58,management,married,basic.6y,no,no,no,telephone,may,mon,529,0
88,39,38 to 58,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,0
89,49,38 to 58,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1
90,34,17 to 37,admin.,married,high.school,no,yes,no,telephone,may,mon,188,0
91,35,17 to 37,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,0
92,57,38 to 58,unknown,married,unknown,unknown,yes,no,telephone,may,mon,48,0
93,60,59 to 79,admin.,married,unknown,unknown,no,yes,telephone,may,mon,213,0
94,33,17 to 37,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,0
95,42,38 to 58,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,0
96,45,38 to 58,services,married,professional.course,no,yes,no,telephone,may,mon,221,0
97,42,38 to 58,management,married,university.degree,no,no,no,telephone,may,mon,426,0
98,53,38 to 58,admin.,divorced,university.degree,unknown,no,no,telephone,may,mon,287,0
99,37,17 to 37,technician,single,professional.course,no,no,no,telephone,may,mon,197,0
100,44,38 to 58,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,0
101,54,38 to 58,services,married,unknown,no,yes,no,telephone,may,mon,229,0
102,49,38 to 58,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,0
103,54,38 to 58,services,married,unknown,no,no,no,telephone,may,mon,400,0
104,52,38 to 58,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,0
105,52,38 to 58,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,0
106,43,38 to 58,services,single,high.school,unknown,no,no,telephone,may,mon,21,0
107,34,17 to 37,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,0
108,35,17 to 37,admin.,married,high.school,no,yes,no,telephone,may,mon,123,0
109,42,38 to 58,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,293,0
110,43,38 to 58,technician,married,unknown,unknown,yes,yes,telephone,may,mon,325,0
111,60,59 to 79,retired,divorced,university.degree,unknown,no,no,telephone,may,mon,514,0
112,58,38 to 58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,0
113,35,17 to 37,services,divorced,high.school,no,yes,no,telephone,may,mon,194,0
114,55,38 to 58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,212,0
115,37,17 to 37,management,married,university.degree,no,no,no,telephone,may,mon,337,0
116,36,17 to 37,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,0
117,52,38 to 58,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,0
118,57,38 to 58,blue-collar,divorced,unknown,unknown,yes,no,telephone,may,mon,518,0
119,56,38 to 58,admin.,married,unknown,no,yes,no,telephone,may,mon,364,0
120,48,38 to 58,blue-collar,divorced,basic.4y,unknown,yes,no,telephone,may,mon,178,0
121,40,38 to 58,blue-collar,married,high.school,unknown,yes,no,telephone,may,mon,98,0
122,49,38 to 58,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,0
123,41,38 to 58,services,married,high.school,no,no,no,telephone,may,mon,139,0
124,45,38 to 58,technician,married,high.school,no,yes,no,telephone,may,mon,79,0
125,32,17 to 37,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,0
126,42,38 to 58,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,0
127,50,38 to 58,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,0
128,31,17 to 37,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,0
129,56,38 to 58,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,0
130,41,38 to 58,technician,married,professional.course,unknown,yes,no,telephone,may,mon,579,1
131,37,17 to 37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,0
132,41,38 to 58,technician,married,professional.course,unknown,no,no,telephone,may,mon,677,0
133,35,17 to 37,blue-collar,married,unknown,no,yes,no,telephone,may,mon,267,0
134,37,17 to 37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,0
135,52,38 to 58,management,married,university.degree,no,no,no,telephone,may,mon,185,0
136,39,38 to 58,management,divorced,university.degree,no,no,no,telephone,may,mon,207,0
137,39,38 to 58,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,69,0
138,56,38 to 58,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,100,0
139,34,17 to 37,services,married,high.school,no,yes,no,telephone,may,mon,125,0
140,45,38 to 58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,461,1
141,43,38 to 58,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,0
142,56,38 to 58,management,married,unknown,no,yes,no,telephone,may,mon,70,0
143,39,38 to 58,management,married,university.degree,no,yes,no,telephone,may,mon,193,0
144,53,38 to 58,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,0
145,38,38 to 58,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,0
146,42,38 to 58,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,528,0
147,42,38 to 58,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,541,0
148,35,17 to 37,admin.,single,high.school,no,yes,no,telephone,may,mon,338,0
149,40,38 to 58,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,163,0
150,51,38 to 58,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,0
151,60,59 to 79,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,301,0
152,56,38 to 58,entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,46,0
153,39,38 to 58,services,divorced,high.school,unknown,yes,no,telephone,may,mon,52,0
154,56,38 to 58,entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,204,0
155,40,38 to 58,blue-collar,married,unknown,no,yes,yes,telephone,may,mon,155,0
156,36,17 to 37,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,0
157,51,38 to 58,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,71,0
158,51,38 to 58,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,243,0
159,43,38 to 58,technician,single,professional.course,no,yes,no,telephone,may,mon,186,0
160,59,59 to 79,services,married,high.school,no,no,no,telephone,may,mon,579,0
161,24,17 to 37,management,single,university.degree,no,yes,no,telephone,may,mon,165,0
162,37,17 to 37,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,163,0
163,40,38 to 58,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,46,0
164,42,38 to 58,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,559,0
165,39,38 to 58,services,divorced,high.school,unknown,no,no,telephone,may,mon,2033,0
166,37,17 to 37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,0
167,38,38 to 58,services,married,high.school,no,yes,yes,telephone,may,mon,506,0
168,56,38 to 58,admin.,divorced,unknown,unknown,no,no,telephone,may,mon,114,0
169,40,38 to 58,blue-collar,married,unknown,no,no,no,telephone,may,mon,114,0
170,54,38 to 58,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,0
171,43,38 to 58,blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,181,0
172,36,17 to 37,services,married,high.school,unknown,no,no,telephone,may,mon,427,0
173,45,38 to 58,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,0
174,42,38 to 58,admin.,single,university.degree,unknown,no,no,telephone,may,mon,192,0
175,43,38 to 58,services,married,high.school,no,no,no,telephone,may,mon,93,0
176,46,38 to 58,management,married,basic.9y,no,no,no,telephone,may,mon,128,0
177,44,38 to 58,services,married,high.school,no,yes,yes,telephone,may,mon,107,0
178,51,38 to 58,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,0
179,28,17 to 37,services,married,high.school,no,yes,no,telephone,may,mon,81,0
180,37,17 to 37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,0
181,34,17 to 37,technician,married,high.school,no,no,no,telephone,may,mon,228,0
182,46,38 to 58,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,240,0
183,42,38 to 58,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,1
184,36,17 to 37,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,0
185,54,38 to 58,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,0
186,57,38 to 58,management,married,university.degree,no,no,no,telephone,may,mon,461,0
187,51,38 to 58,technician,married,basic.6y,unknown,no,no,telephone,may,mon,250,0
188,54,38 to 58,retired,married,high.school,unknown,no,no,telephone,may,mon,130,0
189,49,38 to 58,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,252,0
190,34,17 to 37,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,0
191,41,38 to 58,technician,married,professional.course,no,no,no,telephone,may,mon,412,0
192,38,38 to 58,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,0
193,45,38 to 58,management,divorced,university.degree,no,no,no,telephone,may,mon,19,0
194,42,38 to 58,technician,married,university.degree,no,no,no,telephone,may,mon,228,0
195,34,17 to 37,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,55,0
196,48,38 to 58,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,0
197,37,17 to 37,admin.,married,high.school,unknown,yes,no,telephone,may,mon,313,0
198,34,17 to 37,blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,289,0
199,40,38 to 58,admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,683,0
200,43,38 to 58,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,0
201,33,17 to 37,services,married,high.school,no,no,no,telephone,may,mon,146,0
202,32,17 to 37,services,single,basic.6y,no,no,no,telephone,may,mon,167,0
203,39,38 to 58,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,0
204,43,38 to 58,admin.,married,unknown,no,no,no,telephone,may,mon,277,0
205,44,38 to 58,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,0
206,35,17 to 37,student,single,university.degree,unknown,no,no,telephone,may,mon,218,0
207,35,17 to 37,student,single,university.degree,unknown,yes,yes,telephone,may,mon,217,0
208,35,17 to 37,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,0
209,36,17 to 37,services,single,basic.4y,no,no,no,telephone,may,mon,291,0
210,35,17 to 37,student,single,university.degree,unknown,yes,no,telephone,may,mon,248,0
211,36,17 to 37,student,single,basic.9y,no,yes,no,telephone,may,mon,256,0
212,55,38 to 58,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,0
213,59,59 to 79,admin.,married,university.degree,no,no,no,telephone,may,mon,477,0
214,57,38 to 58,retired,married,unknown,unknown,no,no,telephone,may,mon,611,0
215,39,38 to 58,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,471,0
216,39,38 to 58,housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,381,0
217,30,17 to 37,blue-collar,single,unknown,no,yes,no,telephone,may,mon,251,0
218,30,17 to 37,blue-collar,single,unknown,no,yes,yes,telephone,may,mon,408,0
219,50,38 to 58,housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,287,0
220,40,38 to 58,services,married,high.school,no,no,no,telephone,may,mon,322,0
221,35,17 to 37,admin.,married,high.school,no,yes,no,telephone,may,mon,216,0
222,43,38 to 58,technician,married,unknown,unknown,no,no,telephone,may,mon,366,0
223,36,17 to 37,services,single,basic.6y,unknown,yes,no,telephone,may,mon,210,0
224,46,38 to 58,technician,married,basic.4y,unknown,yes,no,telephone,may,mon,288,0
225,40,38 to 58,technician,married,basic.9y,no,no,no,telephone,may,mon,168,0
226,58,38 to 58,retired,married,university.degree,no,no,no,telephone,may,mon,132,0
227,42,38 to 58,technician,married,university.degree,no,no,no,telephone,may,mon,64,0
228,35,17 to 37,admin.,single,university.degree,no,no,no,telephone,may,mon,209,0
229,43,38 to 58,retired,married,basic.4y,unknown,no,no,telephone,may,mon,410,0
230,45,38 to 58,blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,177,0
231,39,38 to 58,admin.,married,professional.course,no,yes,no,telephone,may,mon,580,0
232,50,38 to 58,services,divorced,professional.course,no,yes,no,telephone,may,mon,165,0
233,32,17 to 37,management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,127,0
234,39,38 to 58,admin.,married,high.school,unknown,no,no,telephone,may,mon,357,0
235,52,38 to 58,self-employed,married,university.degree,unknown,no,no,telephone,may,mon,175,0
236,44,38 to 58,admin.,married,professional.course,no,yes,no,telephone,may,mon,300,0
237,56,38 to 58,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,136,0
238,48,38 to 58,admin.,married,high.school,no,no,no,telephone,may,mon,125,0
239,33,17 to 37,services,married,high.school,unknown,no,yes,telephone,may,mon,189,0
240,43,38 to 58,management,married,university.degree,unknown,no,yes,telephone,may,mon,213,0
241,57,38 to 58,retired,married,high.school,no,no,no,telephone,may,mon,238,0
242,36,17 to 37,technician,single,professional.course,no,no,no,telephone,may,mon,124,0
243,34,17 to 37,management,married,university.degree,no,yes,no,telephone,may,mon,18,0
244,34,17 to 37,services,single,basic.9y,no,no,no,telephone,may,mon,730,0
245,30,17 to 37,technician,married,university.degree,unknown,no,no,telephone,may,mon,40,0
246,33,17 to 37,services,divorced,unknown,no,no,no,telephone,may,mon,181,0
247,32,17 to 37,technician,single,professional.course,no,no,no,telephone,may,mon,79,0
248,36,17 to 37,technician,single,high.school,no,yes,no,telephone,may,mon,142,0
249,36,17 to 37,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,0
250,33,17 to 37,services,single,high.school,no,no,no,telephone,may,mon,702,0
251,40,38 to 58,technician,divorced,professional.course,no,no,no,telephone,may,mon,151,0
252,41,38 to 58,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,211,0
253,51,38 to 58,services,married,basic.6y,no,yes,no,telephone,may,mon,117,0
254,36,17 to 37,technician,married,professional.course,no,yes,no,telephone,may,mon,232,0
255,28,17 to 37,services,married,unknown,no,no,no,telephone,may,mon,408,0
256,53,38 to 58,services,married,high.school,no,yes,yes,telephone,may,mon,370,0
257,58,38 to 58,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,179,0
258,45,38 to 58,management,married,basic.9y,no,no,yes,telephone,may,mon,46,0
259,43,38 to 58,technician,married,unknown,no,yes,no,telephone,may,mon,200,0
260,33,17 to 37,admin.,married,high.school,no,no,yes,telephone,may,mon,50,0
261,33,17 to 37,admin.,married,high.school,no,no,yes,telephone,may,mon,181,0
262,27,17 to 37,blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,119,0
263,42,38 to 58,technician,married,high.school,no,no,no,telephone,may,mon,361,0
264,43,38 to 58,admin.,divorced,basic.9y,no,no,no,telephone,may,mon,73,0
265,42,38 to 58,admin.,married,university.degree,no,no,no,telephone,may,mon,67,0
266,27,17 to 37,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,0
267,34,17 to 37,self-employed,single,university.degree,no,yes,no,telephone,may,mon,150,0
268,31,17 to 37,student,single,university.degree,unknown,no,no,telephone,may,mon,332,0
269,54,38 to 58,management,divorced,university.degree,no,no,no,telephone,may,mon,611,0
270,40,38 to 58,self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,58,0
271,52,38 to 58,unemployed,married,high.school,unknown,yes,no,telephone,may,mon,151,0
272,47,38 to 58,management,divorced,university.degree,no,no,no,telephone,may,mon,89,0
273,49,38 to 58,housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,152,0
274,32,17 to 37,admin.,single,high.school,no,no,no,telephone,may,mon,611,0
275,49,38 to 58,housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,110,0
276,50,38 to 58,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,463,0
277,34,17 to 37,services,married,high.school,no,no,no,telephone,may,mon,962,0
278,55,38 to 58,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,102,0
279,47,38 to 58,technician,single,basic.9y,no,no,no,telephone,may,mon,10,0
280,51,38 to 58,retired,married,professional.course,no,no,no,telephone,may,mon,118,0
281,47,38 to 58,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,92,0
282,56,38 to 58,technician,married,basic.4y,no,yes,no,telephone,may,mon,143,0
283,53,38 to 58,admin.,married,basic.9y,no,no,no,telephone,may,mon,189,0
284,36,17 to 37,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,75,0
285,42,38 to 58,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,189,0
286,44,38 to 58,blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,55,0
287,39,38 to 58,housemaid,married,basic.9y,no,yes,no,telephone,may,mon,935,1
288,37,17 to 37,admin.,single,high.school,no,yes,yes,telephone,may,mon,56,0
289,60,59 to 79,blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,5,0
290,36,17 to 37,services,married,high.school,no,no,no,telephone,may,mon,225,0
291,42,38 to 58,management,divorced,university.degree,no,yes,no,telephone,may,mon,125,0
292,31,17 to 37,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,0
293,53,38 to 58,technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,206,0
294,45,38 to 58,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,164,0
295,37,17 to 37,technician,single,professional.course,no,yes,no,telephone,may,mon,98,0
296,47,38 to 58,self-employed,married,professional.course,no,no,no,telephone,may,mon,446,0
297,49,38 to 58,blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,742,0
298,36,17 to 37,admin.,married,university.degree,no,yes,no,telephone,may,mon,120,0
299,35,17 to 37,services,divorced,high.school,no,no,no,telephone,may,mon,122,0
300,38,38 to 58,unknown,married,unknown,unknown,no,no,telephone,may,mon,362,0
301,38,38 to 58,services,single,high.school,unknown,no,no,telephone,may,mon,357,0
302,50,38 to 58,blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,200,0
303,59,59 to 79,retired,married,professional.course,unknown,no,no,telephone,may,mon,107,0
304,43,38 to 58,unknown,married,unknown,no,yes,no,telephone,may,mon,267,0
305,42,38 to 58,admin.,married,high.school,no,yes,no,telephone,may,mon,248,0
306,40,38 to 58,admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,215,0
307,46,38 to 58,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,209,0
308,57,38 to 58,housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,205,0
309,42,38 to 58,admin.,married,university.degree,no,yes,no,telephone,may,mon,261,0
310,41,38 to 58,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,83,0
311,54,38 to 58,management,divorced,university.degree,no,yes,no,telephone,may,mon,106,0
312,27,17 to 37,admin.,single,university.degree,no,no,no,telephone,may,mon,106,0
313,36,17 to 37,admin.,married,high.school,no,no,no,telephone,may,mon,108,0
314,58,38 to 58,blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,214,0
315,40,38 to 58,management,married,university.degree,unknown,yes,no,telephone,may,mon,358,0
316,34,17 to 37,admin.,single,basic.9y,unknown,no,no,telephone,may,mon,453,0
317,33,17 to 37,admin.,divorced,high.school,no,no,no,telephone,may,mon,364,0
318,56,38 to 58,retired,married,basic.6y,no,no,no,telephone,may,mon,136,0
319,42,38 to 58,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,173,0
320,43,38 to 58,services,married,high.school,no,yes,no,telephone,may,mon,241,0
321,54,38 to 58,management,single,basic.9y,no,yes,no,telephone,may,mon,224,0
322,53,38 to 58,admin.,single,basic.6y,no,yes,yes,telephone,may,mon,148,0
323,42,38 to 58,technician,single,unknown,no,no,no,telephone,may,mon,230,0
324,40,38 to 58,services,married,basic.6y,unknown,no,no,telephone,may,mon,199,0
325,54,38 to 58,technician,married,professional.course,no,yes,yes,telephone,may,mon,196,0
326,40,38 to 58,housemaid,single,professional.course,no,no,no,telephone,may,mon,111,0
327,26,17 to 37,admin.,single,university.degree,no,yes,no,telephone,may,mon,231,0
328,33,17 to 37,admin.,married,high.school,no,no,no,telephone,may,mon,316,0
329,35,17 to 37,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,240,0
330,36,17 to 37,admin.,married,high.school,no,no,no,telephone,may,mon,669,0
331,29,17 to 37,services,single,high.school,no,yes,no,telephone,may,mon,425,0
332,36,17 to 37,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,121,0
333,35,17 to 37,management,married,high.school,no,yes,no,telephone,may,mon,174,0
334,50,38 to 58,self-employed,single,university.degree,no,no,yes,telephone,may,mon,88,0
